longueur d'onde (nm);flux de photon;flux de photon relatif
400;0;0
412,5248657;0,000269663;0,009478673
422,2733757;0,001078652;0,037914692
429,9364924;0,002022472;0,071090047
434,8185638;0,003101124;0,109004739
439,7100147;0,004988764;0,17535545
443,214851;0,007280899;0,255924171
446,7228139;0,009842697;0,345971564
449,531998;0,012134831;0,426540284
453,0352711;0,014292135;0,502369668
455,8272594;0,015101124;0,530805687
459,2992672;0,014561798;0,511848341
462,0693698;0,013483146;0,473933649
464,8363459;0,012134831;0,426540284
468,2974108;0,010651685;0,374407583
473,8469956;0,009303371;0,327014218
478,7087445;0,008629213;0,303317536
482,879531;0,008359551;0,293838863
487,0565706;0,008629213;0,303317536
493,3268197;0,009438202;0,331753555
500,9961895;0,010921348;0,383886256
507,2726917;0,012269663;0,431279621
516,3333659;0,013752809;0,483412322
526,0912555;0,015370787;0,54028436
534,4547142;0,016719101;0,587677725
543,5138251;0,018067416;0,63507109
552,5698095;0,019146067;0,672985782
561,6242306;0,020089888;0,706161137
572,0683928;0,020898876;0,734597156
582,5141182;0,021842697;0,767772512
590,177235;0,022786517;0,800947867
598,5406937;0,024134831;0,848341232
606,9057157;0,025617978;0,900473934
614,571959;0,026831461;0,943127962
622,236639;0,027910112;0,981042654
629,1978505;0,028314607;0,995260664
635,4602833;0,028449438;1
641,7180264;0,028179775;0,990521327
648,6651685;0,027370787;0,962085308
655,6044944;0,02588764;0,909952607
663,925745;0,023595506;0,829383886
671,5529067;0,021438202;0,753554502
679,872594;0,019011236;0,668246445
688,1891549;0,016314607;0,573459716
697,8954568;0,013483146;0,473933649
706,9107963;0,01105618;0,388625592
715,2351734;0,009033708;0,317535545
726,3390327;0,006741573;0,236966825
740,9227162;0,00458427;0,161137441
750,6509038;0,003640449;0,127962085
761,0747435;0,002696629;0,09478673
780,538935;0,001483146;0,052132701
